adm_area;district;location;number_of_access_points
Западный административный округ;район Дорогомилово;город Москва, Пятницкий переулок, дом 10, строение 1;1
Центральный административный округ;район Замоскворечье;город Москва, Пятницкий переулок, дом 3;1
Центральный административный округ;Таганский район;город Москва, Рабочая улица, дом 3/5;1
Центральный административный округ;Таганский район;город Москва, Верхняя Радищевская улица, дом 15, строение 1;1
Центральный административный округ;Таганский район;город Москва, Верхняя Радищевская улица, дом 19/3, строение 1;3
Центральный административный округ;Таганский район;город Москва, Верхняя Радищевская улица, дом 9А, строение 1;2
Центральный административный округ;Таганский район;город Москва, Нижняя Радищевская улица, дом 14/2, строение 1;2
Центральный административный округ;Таганский район;город Москва, Нижняя Радищевская улица, дом 3;1
Центральный административный округ;район Замоскворечье;город Москва, Раушская набережная, дом 14;2
Центральный административный округ;район Замоскворечье;город Москва, 2-й Раушский переулок, дом 3;2
Центральный административный округ;район Арбат;город Москва, Малый Ржевский переулок, дом 6;1
Центральный административный округ;Таганский район;город Москва, площадь Рогожская Застава, дом 2/1, строение 1;2
Центральный административный округ;Таганский район;город Москва, улица Рогожский Вал, дом 13, корпус 8;3
Центральный административный округ;Таганский район;город Москва, улица Рогожский Вал, дом 17;2
Центральный административный округ;Таганский район;город Москва, улица Рогожский Вал, дом 2/50;2
Центральный административный округ;Таганский район;город Москва, улица Рогожский Вал, дом 3;2
Центральный административный округ;Таганский район;город Москва, улица Рогожский Вал, дом 6, корпус 2;1
Центральный административный округ;Таганский район;город Москва, улица Рогожский Вал, дом 7;2
Центральный административный округ;Таганский район;город Москва, улица Рогожский Вал, дом 9/2, строение 1;2
Центральный административный округ;Мещанский район;город Москва, улица Рождественка, дом 1, строение 1;4
Центральный административный округ;Мещанский район;город Москва, улица Рождественка, дом 11, строение 10;2
Центральный административный округ;Мещанский район;город Москва, улица Рождественка, дом 23/5, строение 2;2
Центральный административный округ;Мещанский район;город Москва, улица Рождественка, дом 6/9/20, строение 1;3
Центральный административный округ;Мещанский район;город Москва, Рождественский бульвар, дом 11;2
Центральный административный округ;Мещанский район;город Москва, Рождественский бульвар, дом 17;2
Центральный административный округ;Мещанский район;город Москва, Рождественский бульвар, дом 5/7, строение 1;2
Центральный административный округ;район Замоскворечье;город Москва, Руновский переулок, дом 10, строение 1;2
Центральный административный округ;район Замоскворечье;город Москва, Руновский переулок, дом 11/13, строение 2;1
Центральный административный округ;Красносельский район;город Москва, Рыбников переулок, дом 13/3;2
Центральный административный округ;район Хамовники;город Москва, Большой Саввинский переулок, дом 12, строение 10Б;2
Центральный административный округ;район Хамовники;город Москва, Саввинская набережная, дом 15;2
Центральный административный округ;район Хамовники;город Москва, Саввинская набережная, дом 19, строение 1А;2
Центральный административный округ;район Хамовники;город Москва, Саввинская набережная, дом 19, строение 1Б;1
Центральный административный округ;район Хамовники;город Москва, Саввинская набережная, дом 5;3
Центральный административный округ;район Хамовники;город Москва, Большой Саввинский переулок, дом 9, строение 1;2
Центральный административный округ;Пресненский район;город Москва, Большая Садовая улица, дом 1;1
Центральный административный округ;Пресненский район;город Москва, Большая Садовая улица, дом 3, строение 1;2
Центральный административный округ;Пресненский район;город Москва, Большая Садовая улица, дом 5;4
Центральный административный округ;Пресненский район;город Москва, Большая Садовая улица, дом 6;2
Центральный административный округ;Тверской район;город Москва, Садовая-Каретная улица, дом 20, строение 1;2
Центральный административный округ;Тверской район;город Москва, Садовая-Каретная улица, дом 24/7;2
Центральный административный округ;Тверской район;город Москва, Садовая-Каретная улица, дом 4-6, строение 1;2
Центральный административный округ;Тверской район;город Москва, Садовая-Каретная улица, дом 8, строение 1;1
Центральный административный округ;Пресненский район;город Москва, Садовая-Кудринская улица, дом 1;3
Центральный административный округ;Пресненский район;город Москва, Садовая-Кудринская улица, дом 23, строение 1;2
Центральный административный округ;Пресненский район;город Москва, Садовая-Кудринская улица, дом 28-30;2
Центральный административный округ;Пресненский район;город Москва, Садовая-Кудринская улица, дом 32, строение 2;2
Центральный административный округ;Пресненский район;город Москва, Садовая-Кудринская улица, дом 3А;2
Центральный административный округ;Пресненский район;город Москва, Садовая-Кудринская улица, дом 6, строение 1;2
Центральный административный округ;Пресненский район;город Москва, Садовая-Кудринская улица, дом 8-10-12, строение 1;2
Центральный административный округ;Пресненский район;город Москва, Садовая-Кудринская улица, дом 9, строение 4;2
Центральный административный округ;Тверской район;город Москва, Садовая-Самотёчная улица, дом 10, строение 1;2
Центральный административный округ;Тверской район;город Москва, Садовая-Самотёчная улица, дом 11;1
Центральный административный округ;Тверской район;город Москва, Садовая-Самотёчная улица, дом 16, строение 2;2
Центральный административный округ;Тверской район;город Москва, Садовая-Самотёчная улица, дом 4А;1
Центральный административный округ;Тверской район;город Москва, Садовая-Самотёчная улица, дом 7, строение 1;2
Центральный административный округ;Красносельский район;город Москва, Садовая-Спасская улица, дом 12/23, строение 2;2
Центральный административный округ;Красносельский район;город Москва, Садовая-Спасская улица, дом 17/2;2
Центральный административный округ;Красносельский район;город Москва, Садовая-Спасская улица, дом 18, строение 1;4
Центральный административный округ;Красносельский район;город Москва, Садовая-Спасская улица, дом 19, корпус 1;2
Центральный административный округ;Мещанский район;город Москва, Садовая-Сухаревская улица, дом 13/15;2
Центральный административный округ;Мещанский район;город Москва, Садовая-Сухаревская улица, дом 7;2
Центральный административный округ;Тверской район;город Москва, Долгоруковская улица, дом 5;2
Центральный административный округ;Тверской район;город Москва, Садовая-Триумфальная улица, дом 4-10;2
Центральный административный округ;Басманный район;город Москва, Садовая-Черногрязская улица, дом 16-18, строение 1;2
Центральный административный округ;Басманный район;город Москва, Садовая-Черногрязская улица, дом 22, строение 1;2
Центральный административный округ;Басманный район;город Москва, Садовая-Черногрязская улица, дом 8, строение 1;2
Центральный административный округ;район Замоскворечье;город Москва, Садовническая улица, дом 26/21, строение 1;2
Центральный административный округ;район Замоскворечье;город Москва, Садовническая улица, дом 36;1
Центральный административный округ;Басманный район;город Москва, улица Покровка, дом 19;2
Центральный административный округ;Басманный район;город Москва, улица Покровка, дом 33;3
Центральный административный округ;Басманный район;город Москва, улица Покровка, дом 20/1, строение 1;3
Центральный административный округ;Басманный район;город Москва, улица Покровка, дом 4, строение 1;2
Центральный административный округ;Басманный район;город Москва, улица Покровка, дом 40, строение 1;2
Центральный административный округ;Басманный район;город Москва, улица Покровка, дом 25, строение 1;2
Центральный административный округ;Басманный район;город Москва, улица Покровка, дом 44;2
Центральный административный округ;Басманный район;город Москва, улица Покровка, дом 29;2
Центральный административный округ;Басманный район;город Москва, улица Покровка, дом 50/2, строение 1;2
Центральный административный округ;Басманный район;город Москва, улица Покровка, дом 3/7, строение 1А;2
Центральный административный округ;Басманный район;город Москва, Покровский бульвар, дом 14/5;1
Центральный административный округ;Басманный район;город Москва, Покровский бульвар, дом 10, строение 2;2
Центральный административный округ;Басманный район;город Москва, Покровский бульвар, дом 10, строение 1;2
Центральный административный округ;Басманный район;город Москва, Покровский бульвар, дом 12, строение 1;1
Центральный административный округ;Басманный район;город Москва, Покровский бульвар, дом 14, строение 3;2
Центральный административный округ;Басманный район;город Москва, Покровский бульвар, дом 16/10, строение 1;2
Центральный административный округ;Басманный район;город Москва, Покровский бульвар, дом 6/20, строение 1;2
Центральный административный округ;Басманный район;город Москва, Покровский бульвар, дом 8, строение 1А;2
Центральный административный округ;район Якиманка;город Москва, улица Большая Полянка, дом 1/3;3
Центральный административный округ;район Якиманка;город Москва, улица Большая Полянка, дом 15;3
Центральный административный округ;район Якиманка;город Москва, улица Большая Полянка, дом 19;1
Центральный административный округ;район Якиманка;город Москва, улица Большая Полянка, дом 2/10, строение 1;2
Центральный административный округ;район Якиманка;город Москва, улица Большая Полянка, дом 28, корпус 1;2
Центральный административный округ;район Якиманка;город Москва, улица Большая Полянка, дом 30;4
Центральный административный округ;район Якиманка;город Москва, улица Большая Полянка, дом 4/10;2
Центральный административный округ;район Якиманка;город Москва, улица Большая Полянка, дом 42, строение 1;2
Центральный административный округ;район Якиманка;город Москва, улица Большая Полянка, дом 50/1, строение 1;3
Центральный административный округ;район Якиманка;город Москва, улица Большая Полянка, дом 51А/9;1
Центральный административный округ;район Якиманка;город Москва, улица Большая Полянка, дом 54, строение 1;2
Центральный административный округ;район Якиманка;город Москва, улица Большая Полянка, дом 65/74, строение 1;2
Центральный административный округ;район Якиманка;город Москва, улица Малая Полянка, дом 10;2
Центральный административный округ;район Якиманка;город Москва, улица Малая Полянка, дом 4/6;2
Центральный административный округ;район Якиманка;город Москва, Бродников переулок, дом 3;3
Центральный административный округ;район Хамовники;город Москва, Померанцев переулок, дом 10-12;2
Центральный административный округ;район Хамовники;город Москва, Померанцев переулок, дом 9;2
Центральный административный округ;Мещанский район;город Москва, Последний переулок, дом 12;2
Центральный административный округ;Мещанский район;город Москва, Последний переулок, дом 20;2
Центральный административный округ;Басманный район;город Москва, Потаповский переулок, дом 14;2
Центральный административный округ;Басманный район;город Москва, Потаповский переулок, дом 5, строение 2;2
Центральный административный округ;Басманный район;город Москва, Потаповский переулок, дом 8/12, строение 2;3
Северный административный округ;район Беговой;город Москва, улица Правды, дом 2А;2
Северный административный округ;район Беговой;город Москва, улица Правды, дом 4;3
Центральный административный округ;район Хамовники;город Москва, Пречистенская набережная, дом 45/1, строение 1;3
Центральный административный округ;район Хамовники;город Москва, улица Пресненский Вал, дом 4/29;1
Центральный административный округ;район Хамовники;город Москва, Пречистенский переулок, дом 22/4;2
Центральный административный округ;район Хамовники;город Москва, улица Пречистенка, дом 12/2, строение 1;3
Центральный административный округ;Красносельский район;город Москва, Просвирин переулок, дом 15;2
Центральный административный округ;район Хамовники;город Москва, улица Пречистенка, дом 12/2, строение 9;2
Центральный административный округ;Мещанский район;город Москва, Пушечная улица, дом 9/6, строение 1;2
Центральный административный округ;район Хамовники;город Москва, улица Пречистенка, дом 15;3
Центральный административный округ;район Хамовники;город Москва, улица Пречистенка, дом 18;2
Центральный административный округ;Мещанский район;город Москва, Пушкарёв переулок, дом 19;2
Центральный административный округ;район Хамовники;город Москва, улица Пречистенка, дом 4;2
Центральный административный округ;Мещанский район;город Москва, Пушкарёв переулок, дом 20/17;1
Центральный административный округ;район Хамовники;город Москва, улица Пречистенка, дом 21/12, строение 1;1
Центральный административный округ;Мещанский район;город Москва, Пушкарёв переулок, дом 6;2
Центральный административный округ;район Хамовники;город Москва, улица Пречистенка, дом 21/12, строение 3;2
Центральный административный округ;Тверской район;город Москва, Пушкинская площадь, дом 5;6
Центральный административный округ;район Хамовники;город Москва, улица Пречистенка, дом 24/1;3
Центральный административный округ;район Замоскворечье;город Москва, Пятницкая улица, дом 1/2, строение 1;2
Центральный административный округ;район Замоскворечье;город Москва, Пятницкая улица, дом 10, строение 1;1
Центральный административный округ;район Хамовники;город Москва, улица Пречистенка, дом 30/2;3
Центральный административный округ;район Замоскворечье;город Москва, Пятницкая улица, дом 17/4, строение 1;2
Центральный административный округ;район Хамовники;город Москва, улица Пречистенка, дом 34/18;3
Центральный административный округ;район Замоскворечье;город Москва, Пятницкая улица, дом 2/38, строение 1;1
Центральный административный округ;район Хамовники;город Москва, Пречистенская набережная, дом 1;2
Центральный административный округ;район Замоскворечье;город Москва, Пятницкая улица, дом 20, строение 1;3
Центральный административный округ;район Хамовники;город Москва, Пречистенская набережная, дом 35;3
Центральный административный округ;район Замоскворечье;город Москва, Пятницкая улица, дом 25, строение 1;1
Центральный административный округ;район Замоскворечье;город Москва, Пятницкая улица, дом 25, строение 1Д;1
Центральный административный округ;район Замоскворечье;город Москва, Пятницкая улица, дом 28;3
Центральный административный округ;район Замоскворечье;город Москва, Пятницкая улица, дом 29;2
Центральный административный округ;район Замоскворечье;город Москва, Пятницкая улица, дом 36;2
Центральный административный округ;район Замоскворечье;город Москва, Пятницкая улица, дом 41, строение 1;2
Центральный административный округ;район Замоскворечье;город Москва, Пятницкая улица, дом 46, строение 2;2
Центральный административный округ;район Замоскворечье;город Москва, Пятницкая улица, дом 53/18, строение 1;2
Центральный административный округ;район Замоскворечье;город Москва, Пятницкая улица, дом 56, строение 1;2
Центральный административный округ;район Замоскворечье;город Москва, Пятницкая улица, дом 65/10;2
Центральный административный округ;Тверской район;город Москва, улица Фадеева, дом 7, строение 1;2
Центральный административный округ;Тверской район;город Москва, улица Фадеева, дом 7, строение 3;1
Центральный административный округ;Басманный район;город Москва, улица Фридриха Энгельса, дом 20, строение 2;1
Центральный административный округ;Басманный район;город Москва, улица Фридриха Энгельса, дом 23, строение 4;2
Центральный административный округ;Басманный район;город Москва, улица Фридриха Энгельса, дом 7-21;2
Центральный административный округ;район Хамовники;город Москва, 1-я Фрунзенская улица, дом 6;2
Центральный административный округ;район Хамовники;город Москва, 2-я Фрунзенская улица, дом 10;2
Центральный административный округ;район Хамовники;город Москва, 2-я Фрунзенская улица, дом 4, строение 1;1
Центральный административный округ;район Хамовники;город Москва, 2-я Фрунзенская улица, дом 9, строение 2;2
Центральный административный округ;район Хамовники;город Москва, 3-я Фрунзенская улица, дом 10;2
Центральный административный округ;район Хамовники;город Москва, 3-я Фрунзенская улица, дом 14/37;2
Центральный административный округ;район Хамовники;город Москва, 3-я Фрунзенская улица, дом 20;3
Центральный административный округ;район Хамовники;город Москва, 3-я Фрунзенская улица, дом 6;2
Центральный административный округ;район Хамовники;город Москва, 3-я Фрунзенская улица, дом 9;3
Центральный административный округ;район Хамовники;город Москва, Фрунзенская набережная, дом 38/1;5
Центральный административный округ;Мещанский район;город Москва, Фрунзенская набережная, дом 14;1
Центральный административный округ;район Хамовники;город Москва, Фрунзенская набережная, дом 2/1;7
Центральный административный округ;район Хамовники;город Москва, Фрунзенская набережная, дом 24;4
Центральный административный округ;Басманный район;город Москва, Фурманный переулок, дом 9/12;2
Центральный административный округ;Басманный район;город Москва, Фурманный переулок, дом 18;2
Центральный административный округ;Басманный район;город Москва, Фурманный переулок, дом 2/7, строение 1;3
Центральный административный округ;район Хамовники;город Москва, улица Хамовнический Вал, дом 24;7
Центральный административный округ;район Хамовники;город Москва, улица Хамовнический Вал, дом 28;2
Центральный административный округ;район Хамовники;город Москва, улица Хамовнический Вал, дом 32;2
Центральный административный округ;район Хамовники;город Москва, улица Хамовнический Вал, дом 34;2
Центральный административный округ;Басманный район;город Москва, Большой Харитоньевский переулок, дом 16-18;2
Центральный административный округ;Басманный район;город Москва, Большой Харитоньевский переулок, дом 24, строение 2;2
Центральный административный округ;Басманный район;город Москва, Большой Харитоньевский переулок, дом 25;2
Центральный административный округ;Басманный район;город Москва, Большой Харитоньевский переулок, дом 8, строение 1;2
Центральный административный округ;район Якиманка;город Москва, 2-й Хвостов переулок, дом 10, корпус 1;2
Центральный административный округ;Пресненский район;город Москва, Хлебный переулок, дом 10;2
Центральный административный округ;Пресненский район;город Москва, Хлебный переулок, дом 2/3, строение 1;1
Центральный административный округ;Пресненский район;город Москва, Хлебный переулок, дом 6;2
Центральный административный округ;Басманный район;город Москва, Хоромный тупик, дом 2/6;2
Северный административный округ;Хорошёвский район;город Москва, Хорошёвское шоссе, дом 14;2
Северный административный округ;Хорошёвский район;город Москва, Хорошёвское шоссе, дом 1Б, строение 1;1
Северный административный округ;Хорошёвский район;город Москва, Хорошёвское шоссе, дом 20Б, строение 1;1
Центральный административный округ;Басманный район;город Москва, Хохловский переулок, дом 10, строение 6;2
Центральный административный округ;Басманный район;город Москва, Хохловский переулок, дом 4, строение 2;2
Центральный административный округ;Мещанский район;город Москва, Цветной бульвар, дом 11, строение 1;2
Центральный административный округ;Тверской район;город Москва, Цветной бульвар, дом 13;2
Центральный административный округ;Мещанский район;город Москва, Цветной бульвар, дом 16/1;2
Центральный административный округ;Мещанский район;город Москва, Цветной бульвар, дом 18;1
Центральный административный округ;Тверской район;город Москва, Цветной бульвар, дом 21, строение 1;2
Центральный административный округ;Мещанский район;город Москва, Цветной бульвар, дом 24, корпус 1;2
Центральный административный округ;Тверской район;город Москва, Цветной бульвар, дом 25, строение 1;4
Центральный административный округ;Тверской район;город Москва, Цветной бульвар, дом 7, строение 1;2
Центральный административный округ;Басманный район;город Москва, улица Чаплыгина, дом 1/12, строение 2;1
Центральный административный округ;Басманный район;город Москва, улица Машкова, дом 2/13, строение 1;2
Центральный административный округ;Басманный район;город Москва, Большой Харитоньевский переулок, владение 10/1;3
Центральный административный округ;Тверской район;город Москва, улица Чаянова, дом 11, строение 1;1
Центральный административный округ;Тверской район;город Москва, улица Чаянова, дом 16;1
Центральный административный округ;Тверской район;город Москва, 2-я Тверская-Ямская улица, дом 38;2
Центральный административный округ;Пресненский район;город Москва, 2-я Черногрязская улица, дом 3, строение 1;2
Центральный административный округ;Пресненский район;город Москва, 2-я Черногрязская улица, дом 5, корпус 1;1
Центральный административный округ;Пресненский район;город Москва, 2-я Черногрязская улица, дом 9;2
Центральный административный округ;Басманный район;город Москва, Чистопрудный бульвар, дом 10, строение 2;2
Центральный административный округ;Басманный район;город Москва, Чистопрудный бульвар, дом 12, строение 1;3
Центральный административный округ;Басманный район;город Москва, Чистопрудный бульвар, дом 12, корпус 4;2
Центральный административный округ;Басманный район;город Москва, Чистопрудный бульвар, дом 14, строение 1;1
Центральный административный округ;Басманный район;город Москва, Чистопрудный бульвар, дом 14, строение 3;2
Центральный административный округ;Басманный район;город Москва, Чистопрудный бульвар, дом 15, строение 1;2
Центральный административный округ;Басманный район;город Москва, Чистопрудный бульвар, дом 1А;2
Центральный административный округ;Басманный район;город Москва, Чистопрудный бульвар, дом 23, строение 1;2
Центральный административный округ;Басманный район;город Москва, Чистопрудный бульвар, дом 3, строение 2;2
Центральный административный округ;Басманный район;город Москва, Чистопрудный бульвар, дом 5;2
Центральный административный округ;Басманный район;город Москва, Чистопрудный бульвар, дом 7/2;2
Центральный административный округ;Басманный район;город Москва, Чистопрудный бульвар, дом 2;2
Центральный административный округ;район Хамовники;город Москва, Чистый переулок, дом 9;2
Центральный административный округ;район Хамовники;город Москва, Большой Чудов переулок, дом 8, строение 1;2
Южный административный округ;Донской район;город Москва, улица Шаболовка, дом 30/12;5
Южный административный округ;Донской район;город Москва, улица Шаболовка, дом 32;3
Южный административный округ;Донской район;город Москва, улица Шаболовка, дом 46, корпус 2;2
Южный административный округ;Донской район;город Москва, улица Шаболовка, дом 58;4
Южный административный округ;Даниловский район;город Москва, улица Шаболовка, дом 59, корпус 1;2
Южный административный округ;Даниловский район;город Москва, улица Шаболовка, дом 63, корпус 1;2
Южный административный округ;Даниловский район;город Москва, улица Шаболовка, дом 69/32;1
Юго-Восточный административный округ;Южнопортовый район;город Москва, Шарикоподшипниковская улица, дом 13, строение 1;2
Северо-Восточный административный округ;район Марьина Роща;город Москва, Шереметьевская улица, дом 2;2
Центральный административный округ;Таганский район;город Москва, Школьная улица, дом 13;2
Центральный административный округ;Таганский район;город Москва, Школьная улица, дом 49;2
Центральный административный округ;Пресненский район;город Москва, Шмитовский проезд, дом 1;4
Центральный административный округ;Пресненский район;город Москва, Шмитовский проезд, дом 14;2
Центральный административный округ;Пресненский район;город Москва, Шмитовский проезд, дом 15/5;2
Центральный административный округ;Пресненский район;город Москва, Шмитовский проезд, дом 18;2
Центральный административный округ;Пресненский район;город Москва, Шмитовский проезд, дом 19;3
Центральный административный округ;Пресненский район;город Москва, Шмитовский проезд, дом 6;1
Центральный административный округ;Пресненский район;город Москва, Шмитовский проезд, дом 7;1
Южный административный округ;Даниловский район;город Москва, улица Шухова, дом 21;3
Центральный административный округ;Мещанский район;город Москва, улица Щепкина, дом 25/20;2
Центральный административный округ;Басманный район;город Москва, улица Щепкина, дом 27, корпус 1;1
Центральный административный округ;Мещанский район;город Москва, улица Щепкина, дом 47, строение 1;1
Центральный административный округ;Мещанский район;город Москва, улица Щепкина, дом 47, строение 2;2
Центральный административный округ;Мещанский район;город Москва, улица Щепкина, дом 60/2, строение 1;2
Центральный административный округ;Мещанский район;город Москва, улица Щепкина, дом 64, строение 1;2
Центральный административный округ;район Якиманка;город Москва, Щетининский переулок, дом 12;2
Центральный административный округ;район Замоскворечье;город Москва, улица Щипок, дом 2;1
